"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"nA_laga_yA_hE_hE","nA_lagA_hE","nA[m,p,-]laga_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"nA_laga_yA_ho_0","nA_lagA_ho","nA[m,p,-]laga_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"nA_laga_yA_ho_future","nA_lagA_ho_future","nA[m,p,-]laga_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L1","n","-1","-1","-1"
"nA_laga_yA_ho_wA","nA_lagA_howA","nA[m,p,-]laga_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"nA_pada_0_saka_wA_WA_WA","nA_pada_sakawA_WA","nA[g_v,n_v,-]pada_0[-,-,-]saka_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_0_saka_wA_hE_hE","nA_pada_sakawA_hE","nA[g_v,n_v,-]pada_0[-,-,-]saka_wA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_future","nA_pada_future","nA[g_v,n_v,-]pada_future[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_subj","nA_pada_subj","nA[g_v,n_v,-]pada_subj[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_wA","nA_padawA","nA[g_v,n_v,-]pada_wA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_wA_WA_WA","nA_padawA_WA","nA[g_v,n_v,-]pada_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_wA_hE_hE","nA_padawA_hE","nA[g_v,n_v,-]pada_wA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_wA_ho_0","nA_padawA_ho","nA[g_v,n_v,-]pada_wA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_wA_ho_future","nA_padawA_ho_future","nA[g_v,n_v,-]pada_wA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_yA","nA_padA","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_yA_WA_WA","nA_padA_WA","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_yA_hE_hE","nA_padA_hE","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_yA_ho_0","nA_padA_ho","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L17","ko","-2","-1","0"
"nA_pada_yA_ho_future","nA_padA_ho_future","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_pada_yA_ho_wA","nA_padA_howA","nA[g_v,n_v,-]pada_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L17","ko","-1","-1","0"
"nA_xe_future","nA_xe_future","nA[m,p,-]xe_future[g_v,n_v,p_v]","karwA","L18","per_1","-1","-1","-1"
"nA_xe_nA","nA_xenA","nA[m,p,-]xe_nA[-,s,m]","BAve","L18","imp","0","s","m"
"nA_xe_subj","nA_xe_subj","nA[m,p,-]xe_subj[-,n_v,p_v]","BAve","L18","per_1","0","-1","-1"
"nA_xe_wA","nA_xewA","nA[m,p,-]xe_wA[g_v,n_v,-]","karwA","L18","per_1","-1","-1","0"
"nA_xe_wA_WA_WA","nA_xewA_WA","nA[m,p,-]xe_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L18","per_1","-1","-1","0"
"nA_xe_wA_hE_hE","nA_xewA_hE","nA[m,p,-]xe_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L18","per_1","-2","-1","-1"
"nA_xe_wA_ho_0","nA_xewA_ho","nA[m,p,-]xe_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L18","per_1","-2","-1","-1"
"nA_xe_wA_ho_future","nA_xewA_ho_future","nA[m,p,-]xe_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L18","per_1","-1","-1","-1"
"nA_xe_yA","nA_xiyA","nA[m,p,-]xe_yA[g_v,n_v,-]","karma","L18","per_2","-1","-1","0"
"nA_xe_yA_WA_WA","nA_xiyA_WA","nA[m,p,-]xe_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L18","per_2","-1","-1","0"
"nA_xe_yA_hE_hE","nA_xiyA_hE","nA[m,p,-]xe_yA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L18","per_2","-2","-1","0"
"nA_xe_yA_ho_0","nA_xiyA_ho","nA[m,p,-]xe_yA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L18","per_2","-2","-1","0"
"nA_xe_yA_ho_future","nA_xiyA_ho_future","nA[m,p,-]xe_yA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L18","per_2","-1","-1","0"
"nA_xe_yA_ho_wA","nA_xiyA_howA","nA[m,p,-]xe_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L18","per_2","-1","-1","0"
"subj","subj","subj[-,n_v,p_v]","BAve","L1","n","0","-1","-1"
"wA","wA","wA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"wA_A_0_raha_yA_WA_WA","wA_A_rahA_WA","wA[g_v,n_v,-]A_0[-,-,-]raha_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L3","n","-1","-1","0"
"wA_A_0_raha_yA_hE_hE","wA_A_rahA_hE","wA[g_v,n_v,-]A_0[-,-,-]raha_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L3","n","-2","-1","-1"
"wA_A_0_raha_yA_ho_0","wA_A_rahA_ho","wA[g_v,n_v,-]A_0[-,-,-]raha_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L3","n","-2","-1","-1"
"wA_A_0_raha_yA_ho_future","wA_A_rahA_ho_future","wA[g_v,n_v,-]A_0[-,-,-]raha_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L3","n","-1","-1","-1"
"wA_A_0_raha_yA_ho_wA","wA_A_rahA_howA","wA[g_v,n_v,-]A_0[-,-,-]raha_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L3","n","-1","-1","0"
"wA_WA_WA","wA_WA","wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
